measure,quantile,time,sex,age,value,ethnic
lx,2.50%,2022-2024,Female,0,100000,NZ total
lx,2.50%,2022-2024,Female,1,99535,NZ total
lx,2.50%,2022-2024,Female,2,99513,NZ total
lx,2.50%,2022-2024,Female,3,99495,NZ total
lx,2.50%,2022-2024,Female,4,99482,NZ total
lx,2.50%,2022-2024,Female,5,99472,NZ total
lx,2.50%,2022-2024,Female,6,99464,NZ total
lx,2.50%,2022-2024,Female,7,99456,NZ total
lx,2.50%,2022-2024,Female,8,99450,NZ total
lx,2.50%,2022-2024,Female,9,99443,NZ total
lx,2.50%,2022-2024,Female,10,99437,NZ total
lx,2.50%,2022-2024,Female,11,99430,NZ total
lx,2.50%,2022-2024,Female,12,99422,NZ total
lx,2.50%,2022-2024,Female,13,99413,NZ total
lx,2.50%,2022-2024,Female,14,99402,NZ total
lx,2.50%,2022-2024,Female,15,99388,NZ total
lx,2.50%,2022-2024,Female,16,99372,NZ total
lx,2.50%,2022-2024,Female,17,99351,NZ total
lx,2.50%,2022-2024,Female,18,99325,NZ total
lx,2.50%,2022-2024,Female,19,99293,NZ total
lx,2.50%,2022-2024,Female,20,99258,NZ total
lx,2.50%,2022-2024,Female,21,99221,NZ total
lx,2.50%,2022-2024,Female,22,99183,NZ total
lx,2.50%,2022-2024,Female,23,99144,NZ total
lx,2.50%,2022-2024,Female,24,99103,NZ total
lx,2.50%,2022-2024,Female,25,99061,NZ total
lx,2.50%,2022-2024,Female,26,99018,NZ total
lx,2.50%,2022-2024,Female,27,98975,NZ total
lx,2.50%,2022-2024,Female,28,98933,NZ total
lx,2.50%,2022-2024,Female,29,98891,NZ total
lx,2.50%,2022-2024,Female,30,98849,NZ total
lx,2.50%,2022-2024,Female,31,98808,NZ total
lx,2.50%,2022-2024,Female,32,98765,NZ total
lx,2.50%,2022-2024,Female,33,98721,NZ total
lx,2.50%,2022-2024,Female,34,98673,NZ total
lx,2.50%,2022-2024,Female,35,98624,NZ total
lx,2.50%,2022-2024,Female,36,98571,NZ total
lx,2.50%,2022-2024,Female,37,98515,NZ total
lx,2.50%,2022-2024,Female,38,98454,NZ total
lx,2.50%,2022-2024,Female,39,98390,NZ total
lx,2.50%,2022-2024,Female,40,98322,NZ total
lx,2.50%,2022-2024,Female,41,98245,NZ total
lx,2.50%,2022-2024,Female,42,98161,NZ total
lx,2.50%,2022-2024,Female,43,98066,NZ total
lx,2.50%,2022-2024,Female,44,97956,NZ total
lx,2.50%,2022-2024,Female,45,97835,NZ total
lx,2.50%,2022-2024,Female,46,97707,NZ total
lx,2.50%,2022-2024,Female,47,97567,NZ total
lx,2.50%,2022-2024,Female,48,97415,NZ total
lx,2.50%,2022-2024,Female,49,97250,NZ total
lx,2.50%,2022-2024,Female,50,97068,NZ total
lx,2.50%,2022-2024,Female,51,96870,NZ total
lx,2.50%,2022-2024,Female,52,96658,NZ total
lx,2.50%,2022-2024,Female,53,96423,NZ total
lx,2.50%,2022-2024,Female,54,96165,NZ total
lx,2.50%,2022-2024,Female,55,95892,NZ total
lx,2.50%,2022-2024,Female,56,95593,NZ total
lx,2.50%,2022-2024,Female,57,95267,NZ total
lx,2.50%,2022-2024,Female,58,94915,NZ total
lx,2.50%,2022-2024,Female,59,94534,NZ total
lx,2.50%,2022-2024,Female,60,94119,NZ total
lx,2.50%,2022-2024,Female,61,93669,NZ total
lx,2.50%,2022-2024,Female,62,93182,NZ total
lx,2.50%,2022-2024,Female,63,92650,NZ total
lx,2.50%,2022-2024,Female,64,92078,NZ total
lx,2.50%,2022-2024,Female,65,91462,NZ total
lx,2.50%,2022-2024,Female,66,90796,NZ total
lx,2.50%,2022-2024,Female,67,90076,NZ total
lx,2.50%,2022-2024,Female,68,89297,NZ total
lx,2.50%,2022-2024,Female,69,88462,NZ total
lx,2.50%,2022-2024,Female,70,87555,NZ total
lx,2.50%,2022-2024,Female,71,86581,NZ total
lx,2.50%,2022-2024,Female,72,85517,NZ total
lx,2.50%,2022-2024,Female,73,84352,NZ total
lx,2.50%,2022-2024,Female,74,83076,NZ total
lx,2.50%,2022-2024,Female,75,81665,NZ total
lx,2.50%,2022-2024,Female,76,80104,NZ total
lx,2.50%,2022-2024,Female,77,78372,NZ total
lx,2.50%,2022-2024,Female,78,76454,NZ total
lx,2.50%,2022-2024,Female,79,74331,NZ total
lx,2.50%,2022-2024,Female,80,71987,NZ total
lx,2.50%,2022-2024,Female,81,69400,NZ total
lx,2.50%,2022-2024,Female,82,66564,NZ total
lx,2.50%,2022-2024,Female,83,63462,NZ total
lx,2.50%,2022-2024,Female,84,60081,NZ total
lx,2.50%,2022-2024,Female,85,56424,NZ total
lx,2.50%,2022-2024,Female,86,52495,NZ total
lx,2.50%,2022-2024,Female,87,48302,NZ total
lx,2.50%,2022-2024,Female,88,43870,NZ total
lx,2.50%,2022-2024,Female,89,39268,NZ total
lx,2.50%,2022-2024,Female,90,34544,NZ total
lx,2.50%,2022-2024,Female,91,29783,NZ total
lx,2.50%,2022-2024,Female,92,25130,NZ total
lx,2.50%,2022-2024,Female,93,20684,NZ total
lx,2.50%,2022-2024,Female,94,16557,NZ total
lx,2.50%,2022-2024,Female,95,12862,NZ total
lx,2.50%,2022-2024,Female,96,9684,NZ total
lx,2.50%,2022-2024,Female,97,7042,NZ total
lx,2.50%,2022-2024,Female,98,4940,NZ total
lx,2.50%,2022-2024,Female,99,3336,NZ total
lx,2.50%,2022-2024,Female,100,2161,NZ total
lx,2.50%,2022-2024,Female,101,1342,NZ total
lx,2.50%,2022-2024,Female,102,796,NZ total
lx,2.50%,2022-2024,Female,103,449,NZ total
lx,2.50%,2022-2024,Female,104,240,NZ total
lx,2.50%,2022-2024,Female,105+,119,NZ total
lx,2.50%,2022-2024,Male,0,100000,NZ total
lx,2.50%,2022-2024,Male,1,99415,NZ total
lx,2.50%,2022-2024,Male,2,99387,NZ total
lx,2.50%,2022-2024,Male,3,99367,NZ total
lx,2.50%,2022-2024,Male,4,99350,NZ total
lx,2.50%,2022-2024,Male,5,99337,NZ total
lx,2.50%,2022-2024,Male,6,99326,NZ total
lx,2.50%,2022-2024,Male,7,99317,NZ total
lx,2.50%,2022-2024,Male,8,99308,NZ total
lx,2.50%,2022-2024,Male,9,99300,NZ total
lx,2.50%,2022-2024,Male,10,99291,NZ total
lx,2.50%,2022-2024,Male,11,99281,NZ total
lx,2.50%,2022-2024,Male,12,99270,NZ total
lx,2.50%,2022-2024,Male,13,99257,NZ total
lx,2.50%,2022-2024,Male,14,99241,NZ total
lx,2.50%,2022-2024,Male,15,99221,NZ total
lx,2.50%,2022-2024,Male,16,99196,NZ total
lx,2.50%,2022-2024,Male,17,99163,NZ total
lx,2.50%,2022-2024,Male,18,99120,NZ total
lx,2.50%,2022-2024,Male,19,99065,NZ total
lx,2.50%,2022-2024,Male,20,99004,NZ total
lx,2.50%,2022-2024,Male,21,98937,NZ total
lx,2.50%,2022-2024,Male,22,98868,NZ total
lx,2.50%,2022-2024,Male,23,98796,NZ total
lx,2.50%,2022-2024,Male,24,98721,NZ total
lx,2.50%,2022-2024,Male,25,98644,NZ total
lx,2.50%,2022-2024,Male,26,98567,NZ total
lx,2.50%,2022-2024,Male,27,98491,NZ total
lx,2.50%,2022-2024,Male,28,98414,NZ total
lx,2.50%,2022-2024,Male,29,98339,NZ total
lx,2.50%,2022-2024,Male,30,98262,NZ total
lx,2.50%,2022-2024,Male,31,98185,NZ total
lx,2.50%,2022-2024,Male,32,98104,NZ total
lx,2.50%,2022-2024,Male,33,98022,NZ total
lx,2.50%,2022-2024,Male,34,97937,NZ total
lx,2.50%,2022-2024,Male,35,97851,NZ total
lx,2.50%,2022-2024,Male,36,97763,NZ total
